collection_id,name,number_movies_before_2020,avg_popularity_before_2020,insertion_datetime
659184,Mystery 101 Collection,4,4.750249999999999,2024-04-07 14:12:17.081514
732278,Sekielski About Pedophilia,1,1.983,2024-04-07 14:12:17.081514
692667,Meine Mutter... Filmreihe,2,3.451,2024-04-07 14:12:17.081514
795076,Surrogate Valentine Collection,2,0.9665,2024-04-07 14:12:17.081514
759368,Dragons: Rescue Riders Collection,0,,2024-04-07 14:12:17.081514
1087495,Catholic Heroes of the Faith,2,0.6,2024-04-07 14:12:17.081514
1080417,Antharatma (The Inner Soul) (3 Short Collection),0,,2024-04-07 14:12:17.081514
961177,Rassvet Videos,0,,2024-04-07 14:12:17.081514
759626,The Devil Had Other Plans Collection,0,,2024-04-07 14:12:17.081514
1198430,不是闹着玩（系列）,2,0.6,2024-04-07 14:12:17.081514
804917,C'era una volta Vigata,2,3.2455,2024-04-07 14:12:17.081514
1197543,Debut Anniversary Live Event Collection,1,0.6,2024-04-07 14:12:17.081514
1044973,Irodori (Aya) Collection,1,1.134,2024-04-07 14:12:17.081514
782372,Stalker's Prey Collection,1,6.078,2024-04-07 14:12:17.081514
1155635,VHS Massacre Collection,1,5.504,2024-04-07 14:12:17.081514
1018185,Schoolmistress Collection,2,7.593999999999999,2024-04-07 14:12:17.081514
1237780,Fantasy Magician Collection,0,,2024-04-07 14:12:17.081514
1018123,The Story of the Expedition Woman,1,3.15,2024-04-07 14:12:17.081514
1033506,The Company,2,4.0295000000000005,2024-04-07 14:12:17.081514
950702,Backcountry Discovery Route Collection,9,0.6,2024-04-07 14:12:17.081514
977379,Adult Only Institute Collection,1,19.87,2024-04-07 14:12:17.081514
696965,French Blood Anthology,0,,2024-04-07 14:12:17.081514
1018432,Boarding House: Hungry Wolves Collection,0,,2024-04-07 14:12:17.081514
925184,League of Gods,1,20.188,2024-04-07 14:12:17.081514
891174,Nobody Sleeps in the Woods Tonight Collection,0,,2024-04-07 14:12:17.081514
1227455,Chal Mera Putt Collection,1,4.578,2024-04-07 14:12:17.081514
1018433,The Youngest Sister-in-law Collection,1,0.6,2024-04-07 14:12:17.081514
1004551,Present Perfect,1,1.591,2024-04-07 14:12:17.081514
857324,The Fear Footage Collection,1,2.356,2024-04-07 14:12:17.081514
489724,The Trolls Collection,1,61.159,2024-04-07 14:12:17.081514
964335,Zombie World Collection,2,2.813,2024-04-07 14:12:17.081514
1154078,To the Beat! Collection,1,2.216,2024-04-07 14:12:17.081514
970645,Stargirl Collection,0,,2024-04-07 14:12:17.081514
921415,Ketnet Musical,5,0.7282,2024-04-07 14:12:17.081514
1192671,Not Found,53,0.6615094339622646,2024-04-07 14:12:17.081514
474018,Sabit Kanca,2,1.679,2024-04-07 14:12:17.081514
506940,Baaghi Collection,2,11.396,2024-04-07 14:12:17.081514
