week_end_date,movie_id,rank,domestic_gross,domestic_theaters_count
2021-01-07,464052,1,6591907,2151
2021-01-07,529203,2,2731370,1751
2021-01-07,581032,3,2143800,1928
2021-01-07,549514,5,953070,1183
2021-01-07,551804,9,78785,201
2021-01-07,675327,13,51866,70
2021-01-07,653746,17,19000,150
2021-01-07,596161,19,10085,49
2021-01-07,713235,20,10000,30
2021-01-07,759902,21,2305,6
2021-01-07,773394,22,1501,20
2021-01-07,613658,24,307,3
2021-01-14,464052,1,3606246,2218
2021-01-14,529203,2,2183815,1818
2021-01-14,581032,3,1593370,1986
2021-01-14,549514,5,871642,1222
2021-01-14,675327,10,83167,107
2021-01-14,551804,12,69465,172
2021-01-14,638741,16,13271,54
2021-01-14,530789,17,10077,1
2021-01-14,759902,19,4978,8
2021-01-14,629540,21,2226,2
2021-01-14,773394,26,59,1
2021-01-21,464052,2,2835516,2201
2021-01-21,529203,3,2765990,1855
2021-01-21,581032,4,1387525,1953
2021-01-21,549514,7,645757,1175
2021-01-21,551804,14,56395,136
2021-01-21,675327,19,16793,68
2021-01-21,638741,20,15154,79
2021-01-21,759902,21,3649,4
2021-01-28,529203,2,2091610,1876
2021-01-28,464052,3,1892294,2013
2021-01-28,581032,5,975060,1953
2021-01-28,549514,7,515000,1175
2021-01-28,551804,19,50335,134
2021-01-28,530789,25,8452,1
2021-01-28,638741,27,7204,38
2021-01-28,675327,29,4478,22
2021-01-28,759902,32,1773,3
2021-01-28,629540,33,846,1
2021-02-04,529203,2,2152485,1901
2021-02-04,464052,4,1497102,1864
2021-02-04,581032,6,666805,1674
2021-02-04,549514,8,282640,1022
2021-02-04,551804,19,41410,150
2021-02-04,530789,26,5612,1
2021-02-04,638741,28,2015,10
2021-02-04,675327,31,628,6
2021-02-04,629540,32,399,1
2021-02-11,529203,2,2019160,1935
2021-02-11,464052,4,1114406,1818
2021-02-11,581032,6,488800,1537
2021-02-11,549514,8,218864,864
2021-02-11,551804,16,32405,127
2021-02-11,530789,28,3288,1
2021-02-11,638741,33,777,8
2021-02-11,629540,34,723,1
2021-02-18,529203,1,2875495,1890
2021-02-18,464052,4,1381606,1681
2021-02-18,581032,8,489030,1243
2021-02-18,549514,13,196567,667
2021-02-18,638741,33,608,2
2021-02-25,529203,1,2021180,1913
2021-02-25,464052,4,985382,1644
2021-02-25,581032,9,303030,1161
2021-02-25,549514,15,118716,608
2021-02-25,638741,33,2489,6
2021-03-04,529203,2,1656060,1912
2021-03-04,464052,4,1021558,1534
2021-03-04,581032,10,270255,992
2021-03-04,580532,11,234925,216
2021-03-04,549514,19,84123,511
2021-03-04,792657,21,51101,79
2021-03-11,527774,1,10337165,2045
2021-03-11,412656,3,4661407,1980
2021-03-11,631058,4,1547660,1252
2021-03-11,529203,5,952280,1604
2021-03-11,464052,8,618452,1217
2021-03-11,581032,14,190635,838
2021-03-11,580532,19,110471,210
2021-03-11,549514,23,32385,196
2021-03-11,792657,25,23182,39
2021-03-11,754934,27,18850,25
2021-03-18,527774,1,7945441,2163
2021-03-18,412656,3,3107226,1995
2021-03-18,631058,4,1114815,1272
2021-03-18,529203,5,840853,1440
2021-03-18,820556,7,603955,865
2021-03-18,464052,8,546288,1139
2021-03-18,796368,10,470000,130
2021-03-18,635012,11,336481,814
2021-03-18,805065,13,223541,104
2021-03-18,581032,21,112555,703
2021-03-18,580532,23,59342,124
2021-03-18,675575,27,20563,14
2021-03-18,754934,28,18768,29
2021-03-18,792657,32,7242,16
2021-03-25,527774,1,6607251,2261
2021-03-25,412656,3,2514623,2132
2021-03-25,529203,5,808355,1411
2021-03-25,631058,6,804365,1184
2021-03-25,464052,8,511815,1158
2021-03-25,820556,10,418555,933
2021-03-25,805065,17,181152,133
2021-03-25,635012,19,155170,821
2021-03-25,581032,22,108320,698
2021-03-25,675480,26,38951,110
2021-03-25,754934,30,12881,19
2021-03-25,792657,31,9708,7
2021-03-25,793807,34,5111,7
2021-04-01,399566,1,16474454,2409
2021-04-01,615457,2,8804295,2460
2021-04-01,527774,3,5243063,2212
2021-04-01,412656,5,1569812,2036
2021-04-01,529203,7,701625,1319
2021-04-01,631058,8,478055,1028
2021-04-01,464052,11,360185,1128
2021-04-01,820556,13,205432,652
2021-04-01,805065,14,195587,138
2021-04-01,581032,17,142725,620
2021-04-01,635012,26,27055,261
2021-04-01,800213,28,15800,106
2021-04-01,675480,30,9193,76
2021-04-01,792657,32,4410,2
2021-04-01,776946,40,1209,3
2021-04-01,793807,42,713,7
2021-04-08,399566,1,39645626,3064
2021-04-08,632357,2,4331878,1850
2021-04-08,615457,3,4172840,2567
2021-04-08,527774,4,2967491,2031
2021-04-08,412656,8,556587,1605
2021-04-08,529203,9,338235,1212
2021-04-08,464052,12,193041,1011
2021-04-08,631058,14,157580,603
2021-04-08,805065,18,93197,85
2021-04-08,820556,19,67944,186
2021-04-08,581032,26,16350,166
2021-04-08,635012,32,3223,41
2021-04-08,800213,35,1516,15
2021-04-08,807278,36,1513,2
2021-04-08,776946,37,1135,1
2021-04-15,399566,1,16690347,3084
2021-04-15,615457,2,3553910,2400
2021-04-15,632357,3,3170855,1850
2021-04-15,527774,4,2674199,1941
2021-04-15,412656,9,365253,1300
2021-04-15,529203,10,305555,1139
2021-04-15,464052,15,111513,972
2021-04-15,820556,17,85426,202
2021-04-15,631058,19,76145,448
2021-04-15,805065,25,28465,46
2021-04-15,581032,27,20885,141
2021-04-15,762888,33,6772,7
2021-04-15,635012,35,4037,18
2021-04-15,807278,40,765,1
2021-04-15,776946,43,303,1
2021-04-22,399566,1,9565417,3001
2021-04-22,615457,2,3280675,2405
2021-04-22,632357,3,2642396,2057
2021-04-22,527774,4,2389559,1945
2021-04-22,529203,10,370275,1169
2021-04-22,412656,11,271277,1242
2021-04-22,820556,14,201711,689
2021-04-22,464052,17,109839,952
2021-04-22,581032,25,31035,143
2021-04-22,805065,29,17914,30
2021-04-22,635012,37,2472,14
2021-04-22,807278,38,2051,2
2021-04-29,615457,3,2296090,2252
2021-04-29,527774,4,2081778,1819
2021-04-29,632357,5,1920290,1835
2021-04-29,529203,10,247897,1156
2021-04-29,412656,13,134692,1071
2021-04-29,820556,14,113798,575
2021-04-29,581032,27,10975,92
2021-04-29,805065,31,3110,13
2021-04-29,635012,33,1819,5
2021-04-29,807278,36,1072,1
2021-05-06,399566,3,3462462,2573
2021-05-06,527774,5,1705960,1810
2021-05-06,615457,6,1699370,2056
2021-05-06,632357,7,1379334,1538
2021-05-06,529203,13,233160,1111
2021-05-06,820556,14,206872,713
2021-05-06,412656,21,67279,502
2021-05-06,805065,37,1548,7
2021-05-06,807278,39,690,1
2021-05-06,635012,40,436,3
2021-05-13,399566,4,2517863,2573
2021-05-13,527774,5,2453907,2315
2021-05-13,615457,8,1093845,1931
2021-05-13,632357,9,967264,1390
2021-05-13,635012,11,487839,121
2021-05-13,529203,13,218830,1200
2021-05-13,820556,20,89928,224
2021-05-13,412656,28,39752,413
2021-05-13,464052,31,35342,351
2021-05-20,527774,5,2233731,2285
2021-05-20,399566,6,1924558,2484
2021-05-20,493675,9,1007035,2033
2021-05-20,615457,11,529295,1553
2021-05-20,632357,12,484273,859
2021-05-20,529203,16,210380,1097
2021-05-20,820556,26,26694,75
2021-05-27,527774,3,2225820,2375
2021-05-27,603206,5,1087592,1254
2021-05-27,493675,7,688550,2104
2021-05-27,615457,9,434810,1464
2021-05-27,632357,10,430460,745
2021-05-27,728125,13,195930,308
2021-05-27,529203,14,177070,1054
2021-05-27,820556,25,24291,46
2021-05-27,805065,45,219,2
2021-06-03,520763,1,69110985,3726
2021-06-03,337404,2,32441673,3892
2021-06-03,527774,5,3356781,2015
2021-06-03,399566,7,1361463,1815
2021-06-03,603206,8,1014696,1284
2021-06-03,615457,14,177555,666
2021-06-03,632357,15,148202,303
2021-06-03,728125,17,113046,308
2021-06-03,529203,18,94935,926
2021-06-03,493675,21,49155,606
2021-06-03,820556,31,11392,18
2021-06-03,805065,47,80,1
2021-06-10,423108,1,33751425,3102
2021-06-10,520763,2,28229230,3744
2021-06-10,337404,3,16818273,3922
2021-06-10,527774,6,1711270,1504
2021-06-10,399566,9,757804,1815
