year,week,Rank,LW,Release,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks,Distributor
2024,1,1,1,Wonka,"$17,589,553",-55.5%,"3,817",-234,"$4,608","$167,813,855",4,Warner Bros.
2024,1,2,-,Night Swim,"$14,510,415",-,"3,250",-,"$4,464","$14,510,415",1,Universal Pictures International (UPI)
2024,1,3,4,Anyone But You,"$14,025,726",-22.6%,"3,055",-,"$4,591","$48,239,370",3,Columbia Pictures
2024,1,4,2,Aquaman and the Lost Kingdom,"$13,552,068",-56.6%,"3,553",-234,"$3,814","$102,963,347",3,Warner Bros.
2024,1,5,3,Migration,"$11,995,500",-60.6%,"3,712",-127,"$3,231","$79,565,635",3,Universal Pictures
2024,1,6,6,The Boys in the Boat,"$7,954,484",-44.3%,"2,687",+130,"$2,960","$35,831,103",3,-
2024,1,7,7,The Iron Claw,"$6,420,106",-24.5%,"2,392",-402,"$2,683","$26,235,160",3,A24
2024,1,8,5,The Color Purple,"$6,093,413",-65.3%,"3,218",+15,"$1,893","$55,949,846",3,Warner Bros.
2024,1,9,8,Ferrari,"$3,378,646",-49.1%,"2,121",-265,"$1,592","$16,879,105",3,Neon
2024,1,10,11,Poor Things,"$3,296,065",-21.9%,750,-50,"$4,394","$15,523,307",5,Searchlight Pictures
2024,1,11,10,The Boy and the Heron,"$2,702,639",-38.9%,910,-30,"$2,969","$40,588,271",5,GKIDS
2024,1,12,12,Godzilla Minus One,"$2,426,074",-41.4%,"1,050",-130,"$2,310","$49,866,917",6,-
2024,1,13,9,The Hunger Games: The Ballad of Songbirds & Snakes,"$2,386,683",-53.7%,"1,428",-232,"$1,671","$164,388,255",8,Lionsgate Films
2024,1,14,13,Trolls Band Together,"$1,515,245",-58.3%,"1,137",-380,"$1,332","$100,725,580",8,Universal Pictures
2024,1,15,19,American Fiction,"$1,345,198",+85.5%,114,+74,"$11,799","$3,315,205",4,Metro-Goldwyn-Mayer (MGM)
2024,1,16,14,Wish,"$998,025",-60.8%,900,-365,"$1,108","$62,817,619",8,Walt Disney Studios Motion Pictures
2024,1,17,24,All of Us Strangers,"$618,931",+197.8%,42,+36,"$14,736","$1,059,678",3,Searchlight Pictures
2024,1,18,17,Napoleon,"$399,226",-63.2%,337,-413,"$1,184","$61,303,315",8,Columbia Pictures
2024,1,19,18,Renaissance: A Film by Beyoncé,"$346,259",-54.1%,182,-69,"$1,902","$33,889,684",6,-
