kind,etag,id,viewCount,likeCount,favoriteCount,commentCount
youtube#video,5_AJHlYKyYgnCOZViw7ooaYR9o0,J3Dh6xxyw7c,59,0,0,0
youtube#video,hg8P_xJLFKpRoK7u4t7b6QycfE8,HKw9KZeCvXo,4,0,0,0
youtube#video,DmMRbSdSUDxcqlGxguqOfSsyxLc,glwcwAb-AC4,143,6,0,0
youtube#video,rWrEO1JBgjwckYJ52P9uNqATILs,_sscsAaZpsQ,22879,1089,0,179
youtube#video,ObijBTRsZ08q8aqUn7UwbvEeA_U,SwmFouN2bt8,1642,16,0,7
youtube#video,QEOcukQ9Sm5_saFrtErHtCj0bAA,2P44JlQzLu4,454,5,0,0
youtube#video,sGKDHxW5O8EoRaW6r2uerE4sosA,4Kwau6JIIKE,77,6,0,0
youtube#video,LOXIPsi6E49w3nlZzlkjIIpOGuo,AfjElfbj_mo,634709,31215,0,1711
youtube#video,drdTNqHvHe_925GwBuk_eVwLpAs,Z1Vq7rrTsY0,12686,68,0,
youtube#video,FodQBpFMWgzTzELXWpCz95dHEjE,LjBanb9hQ1A,39078,194,0,8
youtube#video,GcVRu-bJ8pXyZYgFJazMUkTkvP4,JuD-f3Gw4Ew,71560,270,0,8
youtube#video,vEtx5LSi5KiAy3LIgBVA72IJ6X4,hklSInDi5Rc,57265,598,0,51
youtube#video,yQGUvS3T3H_WAuF-mVy84ytsKdA,aJv0A46y3bM,42258,228,0,2
youtube#video,kV8Wgt8f8j3SOC7n2KtTEeHUX1E,xaiqBl4h_dU,4950,12,0,1
youtube#video,uChAl6EVO8gdIDbF1hc3HpNEe3M,r4Fklfznveo,1535,5,0,0
youtube#video,EA8lptynsu1E4MENlNCHk8RB1fE,bxzdtA1TNo0,61,4,0,0
youtube#video,IhTmRA8Aj9LNvrK3nsrQ1V1KbaM,u5fdhXwA1aE,10221610,431795,0,9229
youtube#video,dATnAIQqdIxba3qKMjm5R7hsYpA,mcbqFjiUXM0,1227,6,0,1
youtube#video,uN7G9_AwhjhYJ8IhkNLqy-66c4o,jvUik6FjgMg,2607,27,0,2
youtube#video,AnkVSSMLhyj-9zLlzdubeH-2jyM,5VZ1H3Mr5jI,490,17,0,6
youtube#video,mXnlpVw1TxTfIOV-yk1QLVYL99k,ZsuBMXpwZAU,1692,18,0,0
youtube#video,HSGDkO2a68Ro7KWWJ0OnAsL2ldE,1uNiAQxTbhg,11992,27,0,8
youtube#video,QEhY2286MHKLk4mCY9wrKb9n2io,vPJw3oOzD5s,124,4,0,2
youtube#video,E79KZd3nSN50AaM6NEZRnOY5SS4,3EyPdi6pWHE,37,3,0,0
youtube#video,YTU4jh9UJUAC56DdPmzZz_UTeBE,cOg_0T5QxpI,218126,11788,0,308
youtube#video,_mLI5YSbVPxzj5Qz6cH77CNFYuI,2l0a_3gPDE8,83,2,0,0
youtube#video,EJ3dmMcUTL8TJRgWWRMEGvEg5g4,7_Z8I8TStkU,202,10,0,2
youtube#video,MJKDdiRAHv91ujPMXb_b_eY5gns,qpoIGSOsWek,813,7,0,0
youtube#video,rb6RVtkV-zomnWVHowls-hyatSM,2tnZY6rYsmk,112272,591,0,40
youtube#video,inirTdlcXFPtJ85qO-qFItSjut8,SgpC0i36XIg,131088,1220,0,68
youtube#video,9MHKFPQn2kxRAiZNIZgsYPEH5I0,1FC7FyI4W4s,2590,66,0,6
youtube#video,_n0nBLB9-cjRTmlxqEohNu2ejeU,ToHixk5bVC8,2423,20,0,
youtube#video,W7XxpPQg_AZZ2_3qWTJ9Q896gEU,fCC0fvySR74,48,0,0,
youtube#video,KrKMb-FiuJYe0VjpDOJb8VWI-aU,BlGAP6wEvOE,749,11,0,4
youtube#video,0Mrk0cBC7mFHz9lszl2RPof1Xgk,jlt2VktPPe8,95708,6,0,2
youtube#video,E9ipkYwPgHlLHxSIePJq6jwNTgE,fxowxEbqJPc,4058,3,0,0
youtube#video,Z10mNKrqMoUmJIQ5HamV_YbGRDA,KHjlJDl4UeA,463,4,0,0
youtube#video,aM5APgvU3b2W2Z5GPyMpKgAyb9o,96s4MgS0glU,257,1,0,0
youtube#video,cBbJcoDDzhFC8a9K5FuUMNwnYgk,8429JNo2OOI,94,1,0,0
youtube#video,-kW0ZwBeRQMxMIVcsdPvEm_PWsU,OaPw5X7JCh4,754,1,0,0
youtube#video,ehY5xHY_1rFN4SNAml6C_lkYpdE,OmIISncsRUQ,67836,88,0,4
youtube#video,Xk9FmxONvMrydmVljLhkVSylU-c,tsKrEYBDA9Q,357,2,0,0
youtube#video,bkXsAB6aGW3Ro3IPTE6Xnz_2-vg,ghYdYsBIe6Q,17481,30,0,1
youtube#video,LbwH8ZQTw_CmDpNQcLJ6_gaFAIo,K0EzbBGo0D8,105,3,0,0
youtube#video,bz98zPZG4dmguDKoVolAjEMaOTo,cTOgP-5aaVE,279655,758,0,63
youtube#video,R8CaF1AwZW5J8wg-XW2e5T92S9A,PIkDuDhr7is,1273,37,0,6
youtube#video,ywh7iSAQpfH8OKlF74I6rT5gGeo,jYRK7m03e5s,40600,,0,
youtube#video,pR2sZHRNidlnLUuH9QtctbCMLYc,k9RC_xwI9Fo,80916,320,0,26
youtube#video,G6qzd6MYRPz8EjbNS5FykSCoKt8,IxA-9BToc3Y,98112,10727,0,191
youtube#video,cjW3EjKtnUtTQfQl1q5_4X8ghS8,jWFUOuMmDQ0,297770,25864,0,660
youtube#video,wLgGnW8LxvDc6DnCqxHo69NdeV4,rnjoZdxjqWg,134561,21707,0,579
youtube#video,PuIqzf0S41uOpxNVPFX6PG7xAw0,Xls00jQ5-k4,313,10,0,
youtube#video,qs9BGBdrwL_IcYz-e8CZynumyNc,lXXZNyHiTnI,228,5,0,0
youtube#video,4n6fKvogvln6zQKp4QlDdmTUxds,rGESlN9wias,239870,23033,0,1141
youtube#video,i7PBMWixTLchwa0wCY2UmNfkGgY,iExuKEhwL7o,85889,533,0,6
youtube#video,aI_M-60CSqMJBYbV6YaWeJBRI7Y,B9dFvX8_1eo,12502,71,0,11
youtube#video,8d32Y2Q3UC16M8fZMFHaduyka6g,D6WpqraoNSE,570307,11117,0,849
youtube#video,pT5OhGIVsf7KanrqlvSJjrzGAeI,WziQa5zksxY,1765,45,0,7
youtube#video,nZnbUy-_gAK9YUCxDFPcX8PAzB0,H7rEEtlf64E,206,3,0,0
youtube#video,tcV2z0xpqvbWpEiSdXq-b2vzhRY,2NMpH1TTtMg,149,4,0,0
youtube#video,a2QjQ9yZudW5XmYaqwENcZGD98w,RyMAswjpuTU,176,4,0,0
youtube#video,qGHk0ePKFJv0vOC7lxfZuKbphvo,lcvP5owp7x4,13697,79,0,5
youtube#video,GKel6kku4Du8g0r6oDVxfEQ0xBA,jnsx6CvLRtk,2006,34,0,0
youtube#video,kyMtM5PWbAzhSoTwIAaicOc5tv4,JSIyQXVJltc,182,5,0,0
youtube#video,hAsYgqZCgNPOYvSY8uCW-l2jN5Y,7LH0zrIZJlk,5143,0,0,0
youtube#video,DN7mhD2yQ805KVfwHJO-f_s6vKw,sZ0oNP1qVQ4,108123,227,0,15
youtube#video,xNCpOKuh573TEQjeBs0mf4Kh7To,ND7CUAaJMBU,1554,20,0,1
youtube#video,Q1EetBHI6V42TRftVOmpMNhs-eM,k9L59dDaxpU,48506,165,0,19
youtube#video,h5h9y3iAQZmfpmvBBjCQyIKXIxo,R7HVA8rjg_8,8470,14,0,5
youtube#video,x7BnCu2sHchLe7j5ue16XdHek64,pCjJ1sXhtnE,6380,58,0,7
youtube#video,D-_rszOTfrsnv06CfwbMrcnl9Zw,TvlkiK84OtU,10322,,0,5
youtube#video,ltOqoQaxi_hH7svDoQqruBT17FQ,S0d4ALCDLqU,11226,39,0,9
youtube#video,LsWndgnr4EmLGKHueZR93lhVc3U,ZLQJpUmPMcA,24598,1472,0,99
youtube#video,-YV9S2oOHeP_-F3gW8IidPf4clM,ihFHJ1tgKWk,138818,3868,0,221
youtube#video,i7W3Orhn7fyA4QzCoZp-OYGG-GU,OzCwUC7YX3k,36819,2133,0,199
youtube#video,pZnpkL6DjgaozHhA5m7sPK9Gsoo,L4RcbOiqG6M,88317,3061,0,313
youtube#video,H6UxoPrn_RblelPU468ECoiVgEk,CnL1xeeRMA0,236379,7111,0,432
youtube#video,2mt1OwixT0s5_TidUgvq6ppkqeM,H_uSM8BbzmE,216190,8969,0,450
youtube#video,EMdINLeRYXYjG1ChjVkGIhbwmnY,TsfVdLSp2a0,923115,31253,0,1712
youtube#video,ngbN3kQoPQTkr-fh9HzlasPZFlk,u0cu-T7C9bU,2548533,71379,0,2556
youtube#video,qN7PNkV9kAXnGgwWdHSSXMmypg0,M-JD8QqStBg,3550579,102076,0,3634
youtube#video,7L0Ztp03R-Z-8VDmt0e2dBgZx7o,7FEyjd2hNSk,2932164,104331,0,3930
youtube#video,8vn1CYD0q9YV2RVhVLixSk4Nw9M,TD27O_4nvOc,29924,57,0,7
youtube#video,e342s3CCTvqMpebh8eCHak5GD10,QdteVAA9aRA,623735,105,0,14
youtube#video,c_O7HHEn8oGc1nl7yUAJcVXb8cY,BmuGZz_lKwo,119261,153,0,41
youtube#video,oGMzmS-XpDAiAHE6gEDOIwyqGcQ,Cm-G8EVxU30,76,2,0,0
youtube#video,dAsB5CPwW872xqI3w0Yq1y7ez2k,FFInbyA6Qkw,109,0,0,0
youtube#video,d6QiWEvjR8tUBaVd4h1qtBRq2Q8,ndM0AhheF5s,4340,3,0,0
youtube#video,ZEYXvB1Auya7NfVErNFUUXgQ-bY,b-XUyxsp9qo,45,2,0,0
youtube#video,TKlxALmGxQvbciH4xrLb8oVuI0A,nwjK20ikuAo,36,3,0,0
youtube#video,pQBYzyUvD2c9GnONHZBBh753kXg,IckxYpNvZ64,80,0,0,0
youtube#video,Lv2V-1dHZwYrHDzieQOHJqoINPQ,KdEIG4zRX7k,6,0,0,0
youtube#video,bPTZWsm8Lpnl6f6GSS7CCxb8W8Y,3vz0otqXlas,794,9,0,11
youtube#video,iyfjsghHqtysDKRIE5-oBvyT5L0,3BmzD2JUGC0,45736,3246,0,140
youtube#video,gNLRi2HPFUmlNYSoNbGc4_146Mw,rN45yyu_rCw,2846559,141708,0,4680
youtube#video,2Up6pI-vNSyFUZ44U76IVufyJqc,epOInfo_LWU,1455245,87156,0,2927
youtube#video,shge2DYiH1epvDCdHxK-oCQqrKM,bSxHzaDqnQ4,82666,4587,0,668
youtube#video,2lH37-g8oG2mdjpOQe8aFGDydp0,wjlX1n0yE5w,2174,80,0,6
youtube#video,rAZVEsx8S5aJtCGimIkT-8IC_XM,WJ1-0NOelhM,60,3,0,
youtube#video,8_pPbot4mdHkBwnkiBYJF3H71gU,CVmlEWjbAng,955,35,0,4
youtube#video,8JX3OfoKNdVp-ZNFkjSq610WGLo,Dwc_WERFdX0,556610,49364,0,479
youtube#video,1XpkwK8IvEUCACHUwIUbVR1YC9s,82ta38Actl8,960,33,0,0
youtube#video,d0Hg9AEldE4q_9e9qcSr_SKFtEw,T6zgEhBlnaM,12179,72,0,4
youtube#video,GItoeFAdvt7EYIy8DMWab39MyA4,0Lq0RHHBxsc,472,18,0,
youtube#video,1S7YrCNZ44x8nlvgB4Y1YZiQJSA,SmY0lfxU7eo,27,0,0,0
youtube#video,UrbY3o3HG_fvNw696wJxvbQSSr8,7wqe1gIoikA,762,8,0,0
youtube#video,vvxw0UJPwB8_eKzVSKlv6OtH2Z0,JO5HC46owJM,53417,67,0,21
youtube#video,O1kEaXpbKAPBRI6zlgvgUnqJGPg,KhW0eZYY9Rw,4591,19,0,0
youtube#video,S-b8ujz81COKxMucJ7TrTmIH6m8,I-Ri8aOvDGg,26272,130,0,5
youtube#video,molNPr5oqxW5OsjqJ-pZztlhK0c,i5gbWhRW_ZA,545881,50177,0,1766
youtube#video,93bbDEytwgw_vqX5RL3Acl_BxnE,SE7qyX_w32Q,9764,48,0,
youtube#video,5VcLTzp-vhVk7Q0w7ezwq9rHnTM,mhVhh54efHU,2292,2,0,0
youtube#video,jMEXdiAR4yHUZ6URbxp5-S4jeFo,XnmrXjr2LTk,38312,86,0,10
youtube#video,jA-Wu6nmYsBmR3QcgpEIEl3pQ1I,TcX3nOp4wyI,64516,88,0,22
youtube#video,E_bJd7R2VzFcS6Xn8JDW6j4YD0U,RAnQhyx_BJM,735,11,0,0
youtube#video,byF4Rb8t4WLVT7WTmYArcFQDJq0,Z1gH7pAf6Yk,627,14,0,0
youtube#video,QAd9VxCt5yiwfBsmdUx643gMgNY,CfRKxWzZnrk,1156,21,0,3
youtube#video,eE76NIJ1fC_jFWoALncI4yNNOcA,nUDqkEBuH1Q,1324,27,0,4
youtube#video,tqPsi3BBjISelJcw1kCrxlyVOqc,bjmlmXwVzAc,157594,745,0,51
youtube#video,vPRIv49ILVCk3YTd7Touzpsu4Q0,7noM2FoMniQ,12516,149,0,0
youtube#video,4Ae-7x_KBmmVCvxpY7Cxp6vhFi8,jpa-vHMZmw0,673,14,0,0
youtube#video,rvwfqtS-2SHBMLHWNw7XvHDgESA,L0f7oYeTwN0,16996,155,0,0
youtube#video,LEa4JztfwGxLTSxfA2IYyI2q9xY,pKrNfcKcgJY,96811,523,0,37
youtube#video,fHELX057aFdcUw_3D-S6fBu_QbE,h2w-LSnxJxk,16901,74,0,7
youtube#video,B3q2naPvccTN1HsYmZ_yHxFL6ck,LzryahXnKVM,21261,75,0,1
youtube#video,t_2dA1UYXm0rmEuUAvmoWNRCCKQ,YcWzKt3HwUA,408641,8014,0,286
youtube#video,6Omzhtt3D-fngjYQCUnWGKc_mSE,izYVFehHd4k,506017,17001,0,1333
youtube#video,Rwzo_1kAh3tPnaDUM770iJs1m9Q,DSLbjQgMM6s,17908,52,0,6
youtube#video,kPc6iW5ecRH6C3PzRH3Hd5iH7i0,B967r8CWRO8,15710,57,0,3
youtube#video,kt4p4f17oPFFhzb1iP03VdqR8JA,DQfxcrjN1Kw,16734,283,0,18
youtube#video,VwleARQIWj2SdoPGt4TrC2n2SUw,BkJnC00u7qs,50997,276,0,43
youtube#video,wx1WHMN8jZW1xHbM6nsiODz782o,MyvTRqg6W1U,45383,77,0,307
youtube#video,AiwVTeNS4O88V723Gs5_vOCv3ic,5emJgNiFbAA,2602551,55349,0,2273
