year,week,Rank,LW,Release,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks,Distributor
2021,1,1,1,Wonder Woman 1984,"$6,591,907",-71.4%,"2,151",-,"$3,064","$29,601,218",2,Warner Bros.
2021,1,2,2,The Croods: A New Age,"$2,731,370",-26.5%,"1,751",+25,"$1,559","$35,065,650",7,Universal Pictures
2021,1,3,3,News of the World,"$2,143,800",-42.3%,"1,928",+28,"$1,111","$5,860,970",2,Universal Pictures
2021,1,4,4,Monster Hunter,"$1,687,007",-12.4%,"1,807",-10,$933,"$6,705,410",3,Screen Gems
2021,1,5,6,Fatale,"$953,070",-12.3%,"1,183",+15,$805,"$3,341,203",3,Lionsgate Films
2021,1,6,5,Promising Young Woman,"$939,000",-22.3%,"1,333",+23,$704,"$2,147,180",2,Focus Features
2021,1,7,7,Pinocchio,"$415,383",-15%,824,+38,$504,"$904,221",2,Roadside Attractions
2021,1,8,8,The War with Grandpa,"$191,795",-32.6%,305,-210,$628,"$18,893,989",13,101 Studios
2021,1,9,10,Freaky,"$78,785",-14.3%,201,-54,$391,"$8,780,845",8,Universal Pictures
2021,1,10,12,Come Play,"$78,460",+0.5%,110,-13,$713,"$9,584,000",10,Focus Features
2021,1,11,-,Alien2020 Re-release,"$75,000",-,505,-,$148,"$75,000",1,Walt Disney Studios Motion Pictures
2021,1,12,13,Half Brothers,"$51,935",-15.6%,134,-52,$387,"$2,068,085",5,Focus Features
2021,1,13,-,Shadow in the Cloud,"$51,866",-,70,-,$740,"$51,866",1,Vertical Entertainment
2021,1,14,16,Tenet,"$37,520",-14.8%,120,+4,$312,"$58,081,685",19,Warner Bros.
2021,1,15,9,Elf2020 Re-release,"$25,000",-78.3%,100,-200,$250,"$2,003,568",8,New Line Cinema
2021,1,16,14,The Polar Express2020 Re-release,"$20,000",-66.7%,80,-140,$250,"$711,000",5,Warner Bros.
2021,1,17,20,The Dissident,"$19,000",-24%,150,-10,$126,"$57,000",2,Madman Entertainment
2021,1,18,21,All My Life,"$14,350",-39.8%,88,-45,$163,"$913,935",5,Universal Pictures
2021,1,19,22,Let Him Go,"$10,085",-18.1%,49,-5,$205,"$9,358,025",9,Focus Features
2021,1,20,18,Solo Brathuke So Better,"$10,000",-71.4%,30,+5,$333,"$45,000",2,Zee Studios
2021,1,21,25,Hunter Hunter,"$2,305",+2.4%,6,-9,$384,"$22,305",3,IFC Films
2021,1,22,23,The Forgotten Carols,"$1,501",-83.9%,20,-28,$75,"$502,193",7,Purdie Distribution
